ticker,asset_class,type,factor
IWF,equity,style,growth
MTUM,equity,style,momentum
IJR,equity,style,small_cap
IWD,equity,style,value
USMV,equity,style,low_volatility
VYM,equity,style,high_dividend_yield
RSP,equity,style,equal_weight
IPO,equity,qualitative,ipo
CSD,equity,qualitative,spin_offs
PSP,equity,qualitative,private_equity
GURU,equity,qualitative,hedge_funds
QUAL,equity,qualitative,quality
PKW,equity,qualitative,buybacks
KNOW,equity,qualitative,insider_sentiment
IVW,equity,size_vs_value,large_cap_growth
IWO,equity,size_vs_value,small_cap_growth
IJK,equity,size_vs_value,mid_cap_growth
IJH,equity,size_vs_value,mid_cap_core
IWM,equity,size_vs_value,small_cap_core
IJJ,equity,size_vs_value,mid_cap_value
IWN,equity,size_vs_value,small_cap_value
IVE,equity,size_vs_value,large_cap_value
EFV,equity,global_style,international_value
EFG,equity,global_style,international_growth
IMOM,equity,global_style,international_momentum
SCZ,equity,global_style,international_small_cap
EFA,equity,global_style,international
TLH,fixed_income,us_treasury_duration,10_20_year_treasury
TLT,fixed_income,us_treasury_duration,20_plus_year_treasury
PLW,fixed_income,us_treasury_duration,laddered_treasury
TIP,fixed_income,us_government_agencies,tips
AGZ,fixed_income,us_government_agencies,us_agencies
MBB,fixed_income,us_government_agencies,mortgage_backed_securities
MUB,fixed_income,us_government_agencies,municipal_bonds
SUB,fixed_income,us_government_agencies,short_term_municipal_bonds
AGG,fixed_income,us_corporate_credit,usd_aggregate_bond
BKLN,fixed_income,us_corporate_credit,senior_loans
HYG,fixed_income,us_corporate_credit,high_yield_corporates
CWB,fixed_income,us_corporate_credit,convertibles
FLOT,fixed_income,us_corporate_credit,high_grade_floating_corporates
MINT,fixed_income,us_corporate_credit,high_grade_short_term_corporates
BNDX,fixed_income,international_credit,international_aggregate_bond
SHV,fixed_income,us_treasury_duration,0_1_year_treasury
SHY,fixed_income,us_treasury_duration,1_3_year_treasury
IEI,fixed_income,us_treasury_duration,3_7_year_treasury
IEF,fixed_income,us_treasury_duration,7_10_year_treasury
GOVT,fixed_income,us_government_agencies,us_treasury
GNMA,fixed_income,us_government_agencies,ginnie_mae
LQD,fixed_income,us_corporate_credit,high_grade_corporates
PFF,fixed_income,us_corporate_credit,preferred_stock
IGOV,fixed_income,international_credit,international_treasuries
EMB,fixed_income,international_credit,usd_emerging_markets
EMLC,fixed_income,international_credit,local_emerging_markets
