name,ticker,sector,pe_ratio,industry,market_cap,ytd_return
Apple Inc,AAPL,Information Technology,33.99,"Computers, Phones & Household Electronics",1912234.55,0.46
Microsoft Corp,MSFT,Information Technology,35.98,Software & IT Services,1569682.57,0.27
Amazon.com Inc,AMZN,Consumer Discretionary,120.27,Diversified Retail,1567278.71,0.62
Facebook Inc,FB,Communication Services,32.49,Software & IT Services,725735.83,0.21
Alphabet Cl A,GOOGL,Communication Services,32.12,Software & IT Services,994798.16,0.05
Alphabet Cl C,GOOG,Communication Services,32.22,Software & IT Services,994798.16,0.06
Berkshire Hathaway Cl B,BRK.B,Financials,23.51,Insurance,511039.82,-0.08
Johnson & Johnson,JNJ,Health Care,25.87,Pharmaceuticals,379679.47,-0.01
Visa Inc,V,Information Technology,38.19,Software & IT Services,426764.67,0.04
Procter & Gamble Company,PG,Consumer Staples,27.82,Personal & Household Products & Services,343468.17,0.09
Tesla Inc,TSLA,Consumer Discretionary,1091.51,Automobiles & Auto Parts,395301.18,3.54
Nvidia Corp,NVDA,Information Technology,92.69,Semiconductors & Semiconductor Equipment,311899.67,1.06
Home Depot,HD,Consumer Discretionary,25.03,Specialty Retailers,294206.06,0.22
JP Morgan Chase & Company,JPM,Financials,12.71,Banking Services,287297.25,-0.33
Mastercard Inc,MA,Information Technology,46.55,Software & IT Services,335665.72,0.09
Unitedhealth Group Inc,UNH,Health Care,16.55,Healthcare Providers & Services,279645.80,-0.01
Verizon Communications Inc,VZ,Communication Services,12.94,Telecommunications Services,247538.38,-0.04
Walt Disney Company,DIS,Communication Services,0.00,Media & Publishing,229876.53,-0.15
Adobe Systems Inc,ADBE,Information Technology,61.29,Software & IT Services,233491.45,0.43
Paypal Holdings,PYPL,Information Technology,86.19,Software & IT Services,220322.23,0.68
Intel Corp,INTC,Information Technology,9.19,Semiconductors & Semiconductor Equipment,212437.35,-0.18
Merck & Company,MRK,Health Care,20.10,Pharmaceuticals,209775.25,-0.09
Salesforce.com Inc,CRM,Information Technology,96.82,Software & IT Services,225479.80,0.45
Netflix Inc,NFLX,Communication Services,87.02,Software & IT Services,216613.56,0.45
AT&T Inc,T,Communication Services,17.47,Telecommunications Services,203142.95,-0.29
Pfizer Inc,PFE,Health Care,14.73,Pharmaceuticals,201436.89,-0.08
Comcast Corp A,CMCSA,Communication Services,18.56,Media & Publishing,211000.57,0.01
Wal-Mart Stores,WMT,Consumer Staples,22.05,Food & Drug Retailing,391936.37,0.14
Coca-Cola Company,KO,Consumer Staples,23.36,Beverages,213311.50,-0.13
Bank of America Corp,BAC,Financials,11.50,Banking Services,207418.50,-0.34
Pepsico Inc,PEP,Consumer Staples,26.88,Beverages,182979.23,-0.04
Abbott Laboratories,ABT,Health Care,60.62,Healthcare Equipment & Supplies,185551.54,0.18
Thermo Fisher Scientific Inc,TMO,Health Care,46.21,Healthcare Equipment & Supplies,170198.38,0.29
Cisco Systems Inc,CSCO,Information Technology,14.92,Communications & Networking,166458.28,-0.20
McDonald's Corp,MCD,Consumer Discretionary,34.31,Hotels & Entertainment Services,161031.23,0.09
Abbvie Inc,ABBV,Health Care,19.49,Pharmaceuticals,156364.23,-0.02
Exxon Mobil Corp,XOM,Energy,23.60,Oil & Gas,150229.13,-0.51
Accenture Plc,ACN,Information Technology,30.87,Software & IT Services,150727.71,0.10
Costco Wholesale,COST,Consumer Staples,40.76,Diversified Retail,152082.84,0.17
Chevron Corp,CVX,Energy,0.00,Oil & Gas,141034.74,-0.40
Amgen Inc,AMGN,Health Care,20.22,Pharmaceuticals,144959.21,0.01
Medtronic Inc,MDT,Health Care,32.19,Healthcare Equipment & Supplies,140268.86,-0.09
Nextera Energy,NEE,Utilities,37.93,Electrical Utilities & IPPs,136151.46,0.13
Nike Inc,NKE,Consumer Discretionary,69.83,Textiles & Apparel,182304.17,0.25
Broadcom Ltd,AVGO,Information Technology,67.78,Semiconductors & Semiconductor Equipment,146263.64,0.11
Union Pacific Corp,UNP,Industrials,24.52,Freight & Logistics Services,133948.47,0.07
Danaher Corp,DHR,Health Care,53.39,Healthcare Equipment & Supplies,146954.04,0.34
Bristol-Myers Squibb Company,BMY,Health Care,0.00,Pharmaceuticals,132441.20,-0.08
Qualcomm Inc,QCOM,Information Technology,48.12,Semiconductors & Semiconductor Equipment,128419.22,0.25
Texas Instruments,TXN,Information Technology,26.00,Semiconductors & Semiconductor Equipment,126995.60,0.05
Eli Lilly and Company,LLY,Health Care,24.38,Pharmaceuticals,135843.65,0.14
